[ 2024-11-26 16:02:38,213 ] 17 root - INFO - Initiate data ingestion
[ 2024-11-26 16:02:41,547 ] 91 root - INFO - Dataframe loaded with 11055 rows and 31 columns.
[ 2024-11-26 16:02:41,598 ] 66 root - INFO - Performed train test split on the dataframe
[ 2024-11-26 16:02:41,598 ] 71 root - INFO - Exporting train and test file path.
[ 2024-11-26 16:02:41,638 ] 79 root - INFO - Exported train and test file path
[ 2024-11-26 16:02:41,638 ] 19 root - INFO - Data Intiation completed
[ 2024-11-26 16:02:41,638 ] 23 root - INFO - Initiate the data Validation
[ 2024-11-26 16:02:41,708 ] 32 root - INFO - Required number of columns:2
[ 2024-11-26 16:02:41,708 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-26 16:02:41,708 ] 32 root - INFO - Required number of columns:2
[ 2024-11-26 16:02:41,708 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-26 16:02:41,829 ] 25 root - INFO -  Data Validation Completed
[ 2024-11-26 16:02:41,829 ] 28 root - INFO - Data transformation started
[ 2024-11-26 16:02:41,829 ] 68 root - INFO - Entred initiate_data_trasnfroamtion method of datatrnsformation class
[ 2024-11-26 16:02:41,829 ] 70 root - INFO - starting data transformation
[ 2024-11-26 16:02:41,856 ] 49 root - INFO - Entered get_data_transfromer_object method of transformation class 
[ 2024-11-26 16:02:41,864 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-11-26 16:02:41,881 ] 51 root - INFO - Entred the save_object method of mainutils class
[ 2024-11-26 16:02:41,884 ] 55 root - INFO - Exited the save_object method of mainutils class
[ 2024-11-26 16:02:41,884 ] 32 root - INFO - data transformation completed
